Price;Beds;Baths;Sq Ft;State;Street;City;Zip;Lot Size;Garage Spots;Walkability
425000.0;2.0;2.0;1548.0;;4220 SE 24th Ave; Portland;OR 97202;3,920 sq ft lot;;Very walkable
290000.0;1.0;1.0;727.0;;1500 SW Park Ave #119; Portland;OR 97201;;;Walker's paradise
699000.0;3.0;3.0;1672.0;;5811 SW Seymour Ct; Portland;OR 97221;8,276 sq ft lot;2 garage spots;Somewhat walkable
619900.0;3.0;2.0;1828.0;;7116 SW Canyon Ln; Portland;OR 97225;0.24 acre lot;;Car-dependent
575000.0;3.0;3.5;3018.0;;8320 SE Aspen Summit Dr; Portland;OR 97266;;;
400000.0;3.0;1.0;884.0;;2524 NE 84th Ave; Portland;OR 97220;;;
425000.0;1.0;1.0;1358.0;;4121 N Albina Ave; Portland;OR 97217;;;
169000.0;0.0;1.0;348.0;;1005 SW Park Ave #501; Portland;OR 97205;;;
189000.0;0.0;1.0;348.0;;1005 SW Park Ave #801; Portland;OR 97205;;;
389900.0;2.0;1.0;1475.0;;3607 NE 11th Ave; Portland;OR 97212;;;
448888.0;2.0;2.5;1551.0;;16159 NW Centine Ln; Portland;OR 97229;;;
549950.0;2.0;1.0;1872.0;;7234 SE 62nd Ave; Portland;OR 97206;;;
225000.0;1.0;1.0;669.0;;1436 NE 21st Ave #23; Portland;OR 97232;;;
259000.0;0.0;1.0;640.0;;3601 S River Pkwy #2416; Portland;OR 97239;;;
649000.0;3.0;2.0;1754.0;;19996 NW Metolius Dr; Portland;OR 97229;;;
499000.0;2.0;2.0;2049.0;;2347 NE 152nd Pl; Portland;OR 97230;;;
725000.0;3.0;2.0;1001.0;;14125 SE Division St; Portland;OR 97236;;;
315000.0;0.0;1.0;559.0;;1221 SW 10th Ave; Portland;OR 97205;;;
699000.0;4.0;3.0;2389.0;;4185 NW 176th Ave; Portland;OR 97229;;;
229900.0;1.0;1.0;626.0;;1920 NW 143rd Ave #40; Portland;OR 97229;;;
630000.0;4.0;2.0;2072.0;;2103 SE Stark St; Portland;OR 97214;;;
624900.0;5.0;3.0;2849.0;;15433 SE Henderson Way; Portland;OR 97236;;;
535000.0;3.0;2.0;1768.0;;2910 NW Kennedy Ct; Portland;OR 97229;;;
425000.0;2.0;1.0;1762.0;;1734 N Dekum St; Portland;OR 97217;;;
575000.0;3.0;2.0;1474.0;;12619 SE 26th Ave; Milwaukie;OR 97222;;;
299900.0;3.0;1.0;891.0;;5703 SE Liebe St; Portland;OR 97206;;;
899900.0;4.0;3.0;2231.0;;3506 SE Insley St; Portland;OR 97202;;;
275000.0;1.0;1.0;553.0;;5405 NE 10th Ave #8; Portland;OR 97211;;;
199900.0;1.0;1.0;858.0;;245 N Hayden Bay Dr; Portland;OR 97217;;;
